Language,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Bir_1985,Bir_1990,Bir_1995,Bir_2000,Bir_2005,Bir_2010,Bir_2015,Bir_2020,Bir_2025,Bir_2030,Bir_2035,Bir_2040,Bir_2045,Bir_2050,Dea_1985,Dea_1990,Dea_1995,Dea_2000,Dea_2005,Dea_2010,Dea_2015,Dea_2020,Dea_2025,Dea_2030,Dea_2035,Dea_2040,Dea_2045,Dea_2050
Spanish,19380,21565,23864,25797,27443,28948,30445,31915,33284,34445,35376,36096,36619,36944,33.626,30.677,26.667,23.328,22.204,20.621,18.544,14.66753559,12.40058923,9.869205287,7.337821348,4.806437409,2.275053471,-0.256330468,8.337,7.05,6.038,5.485,5.319,5.299,5.348,4.241142857,3.770142857,3.299142857,2.828142857,2.357142857,1.886142857,1.415142857
Filipino,54589,61481,68472,76452,84965,93137,100999,109181,117446,125685,133729,141428,148672,155381,34.936,33.02,31.016,29.606,27.372,25.024,22.273,21.23907571,18.96307357,16.94136559,14.91965761,12.89794964,10.87624166,8.854533683,7.081,6.298,5.556,5.432,5.469,5.623,5.798,5.138714286,4.949928571,4.761142857,4.572357143,4.383571429,4.194785714,4.006
Polish,37226,38120,38601,38655,38557,38617,38563,38283,37754,36985,36052,35028,33926,32739,18.3,14.4,11.2,9.9,9.5,10.9,9.7,8.097627119,6.345242131,5.199806295,4.05437046,2.908934625,1.763498789,0.618062954,10.3,10.2,10,9.6,9.6,9.9,10.4,9.9,9.875,9.85,9.825,9.8,9.775,9.75
Arabic,13331,16061,18756,21312,23643,25732,27753,29819,31878,33826,35615,37250,38782,40251,40.981,35.799,30.529,26.375,24.236,22.123,19.41,16.51954011,11.96805577,8.628386494,5.288717218,1.949047942,-1.390621334,-4.730290611,6.333,4.913,4.118,3.691,3.561,3.464,3.412,2.467714286,2.031357143,1.595,1.158642857,0.722285714,0.285928571,-0.150428571
English,34255,38504,42148,44914,48105,51123,53676,56464,59109,61496,63603,65494,67163,68529,34.87,30.312,25.276,22.854,23.073,23.305,21.719,18.15761073,16.07194822,14.09997531,12.12800239,10.15602948,8.184056564,6.212083649,9.308,8.082,8.98,12.107,13.994,12.085,9.769,12.67542857,13.18982143,13.70421429,14.21860714,14.733,15.24739286,15.76178571
Spanish,38535,39351,39765,40590,43705,46506,48147,50016,51416,52446,53139,53451,53271,52491,11.9,10.3,9.1,9.8,10.6,10.4,9,5.954632768,7.305887813,6.789011972,6.272136131,5.755260291,5.23838445,4.721508609,8.1,8.6,8.7,8.9,8.8,8.2,9.1,8.957142857,9.039285714,9.121428571,9.203571429,9.285714286,9.367857143,9.45
Arabic,17507,21130,24517,27068,29884,32997,36109,41131,42942,46338,49857,53188,56279,59130,43.077,41.809,40.993,39.54,37.713,35.475,33.318,33.23498701,31.19517207,29.65076623,28.10636038,26.56195454,25.0175487,23.47314285,12.606,12.045,11.308,10.263,9.17,8.122,7.428,6.489142857,5.577785714,4.666428571,3.755071429,2.843714286,1.932357143,1.021
English,21485,24805,29065,33194,38487,44289,51046,58553,68905,76071,85946,96400,107301,118587,45.306,43.986,42.289,41.648,41.716,40.249,37.866,37.56321243,36.46085621,35.37929058,34.29772495,33.21615932,32.13459369,31.05302806,15.027,14.914,15.05,13.808,11.496,9.212,7.161,6.873142857,5.496142857,4.119142857,2.742142857,1.365142857,-0.011857143,-1.388857143
Thai,51759,56097,59818,62902,65113,66721,67977,68978,69589,69751,69447,68696,67546,66064,22.133,19.222,16.913,14.524,12.87,11.757,10.836,4.18309096,4.16004548,1.961219727,-0.237606026,-2.43643178,-4.635257533,-6.834083286,6.129,5.707,6.344,6.877,7.123,7.191,7.389,7.755285714,8.024107143,8.292928571,8.56175,8.830571429,9.099392857,9.368214286
Turkish,50989,56545,61296,65970,70465,74687,79415,82018,84545,86671,88279,89283,89626,89291,30.295,25.865,23.553,21.672,19.521,17.918,16.718,12.09195254,10.65715484,8.368912793,6.080670743,3.792428692,1.504186642,-0.784055408,9.512,8.247,7.301,6.466,6.013,5.697,5.404,4.275428571,3.607142857,2.938857143,2.270571429,1.602285714,0.934,0.265714286
English,13811,16549,19641,22917,26917,31508,37102,43518,50693,58489,66782,75460,84402,93477,49.562,49.855,49.603,48.584,47.101,44.693,40.68,43.65792486,41.17681957,39.94567045,38.71452133,37.48337222,36.2522231,35.02107398,16.588,18.012,18.753,16.511,12.753,9.659,7.345,7.026571429,5.225321429,3.424071429,1.622821429,-0.178428571,-1.979678571,-3.780928571
Ukrainian,50945,51623,51248,49014,47003,45769,44430,43923,42888,41699,40538,39428,38325,37149,14.587,12.6,9.6,7.8,9,10.8,10.7,7.76149774,7.544713156,6.91996892,6.295224684,5.670480448,5.045736212,4.420991976,11.77,12.1,15.4,15.4,16.6,15.2,14.9,16.88,17.47964286,18.07928571,18.67892857,19.27857143,19.87821429,20.47785714
English,56585,57411,58187,59140,60488,62349,64089,65762,67244,68451,69394,70149,70743,71154,13.3,13.9,12.6,11.5,12,12.9,11.9,10.56254237,10.8455569,10.51505448,10.18455206,9.854049637,9.523547215,9.193044794,11.9,11.2,11.1,10.3,9.6,8.9,9.2,8.285714286,7.778571429,7.271428571,6.764285714,6.257142857,5.75,5.242857143
English,237924,249623,266279,282163,295517,309348,321369,334504,347335,359403,370339,380220,389395,398329,15.8,16.7,14.6,14.4,14,13,12.4,11.45028249,10.9822841,10.3019505,9.621616895,8.941283293,8.260949691,7.580616088,8.7,8.6,8.8,8.5,8.3,7.995,8.44,8.120714286,8.031785714,7.942857143,7.853928571,7.765,7.676071429,7.587142857
Uzbek,18216,20531,23068,25042,26540,27866,29200,30566,31824,32855,33653,34279,34768,35117,37.4,33.7,29.8,21.4,20.4,22,23.5,18.6105339,14.76598123,12.30257335,9.839165456,7.375757567,4.912349677,2.448941788,7.2,6.1,6.4,5.5,5.4,4.8,4.9,4.257142857,3.882142857,3.507142857,3.132142857,2.757142857,2.382142857,2.007142857
Vietnamese,60094,67259,73784,79178,84425,89572,94349,98722,102459,105478,107843,109602,110718,111174,30.603,28.561,22.842,17.429,16.805,17.282,17.259,12.14128249,9.487819814,7.07060526,4.653390705,2.23617615,-0.181038405,-2.598252959,6.871,6.36,5.889,5.651,5.651,5.81,6.126,5.540714286,5.413107143,5.2855,5.157892857,5.030285714,4.902678571,4.775071429
